Time,Syringe.Type,Lac,pH,PCO2,PO2,Pit_Num,CNR...cartridge,Weight,Wingspan
0,P,1.15,7.57983,2.5915,-1.449,7813,1:38,9.65,78
0,G,1.16,7.57665,2.5569,NA,7813,1:38,9.65,78
5,P,1.18,7.583805,2.5742,1.983,7813,1:38,9.65,78
5,G,1.1,7.57665,2.5742,-1.449,7813,1:38,9.65,78
10,P,1.11,7.58301,2.6088,1.411,7813,1:38,9.65,78
10,G,1.13,7.57188,2.6261,-1.449,7813,1:38,9.65,78
15,P,1.12,7.5846,2.5915,-1.449,7813,1:38,9.65,78
15,G,1.16,7.575855,2.5569,1.983,7813,1:38,9.65,78
45,P,1.11,7.569495,2.6261,1.983,7813,1:38,9.65,78
45,G,1.13,7.569495,2.5742,3.127,7813,1:38,9.65,78
90,P,1.16,7.57029,2.6434,1.983,7813,1:38,9.65,78
90,G,1.19,7.561545,2.6953,3.127,7813,1:38,9.65,78
0,P,0.68,7.607655,2.3839,-1.449,7356,1:09,5.75,70
0,G,0.71,7.602885,2.4185,-1.449,7356,1:09,5.75,70
5,P,0.68,7.609245,2.3493,1.983,7356,1:09,5.75,70
5,G,0.71,7.598115,2.3666,1.983,7356,1:09,5.75,70
10,P,0.69,7.602885,2.332,3.127,7356,1:09,5.75,70
10,G,0.7,7.6005,2.4185,-1.449,7356,1:09,5.75,70
15,P,0.7,7.59573,2.3666,3.127,7356,1:09,5.75,70
15,G,0.72,7.574265,2.4704,2.555,7356,1:09,5.75,70
45,P,0.67,7.575855,2.4704,3.699,7356,1:09,5.75,70
45,G,0.75,7.54962,2.6434,4.843,7356,1:09,5.75,70
90,P,0.66,7.559955,2.5742,3.127,7356,1:09,5.75,70
90,G,0.76,7.49397,2.7991,12.851,7356,1:09,5.75,70
0,P,0.92,7.606065,2.3493,-1.449,1104,1:20,5.8,68
5,P,0.93,7.601295,2.3666,-1.449,1104,1:20,5.8,68
10,P,0.93,7.59891,2.3666,-1.449,1104,1:20,5.8,68
15,P,0.9,7.609245,2.3839,1.411,1104,1:20,5.8,68
45,P,0.91,7.604475,2.3493,2.555,1104,1:20,5.8,68
90,P,0.95,7.55598,2.5396,4.271,1104,1:20,5.8,68
0,P,1.64,7.51782,2.9202,NA,2315,1:16,6.4,70
0,G,1.61,7.51305,2.8683,NA,2315,1:16,6.4,70
5,P,1.58,7.523385,2.851,-1.449,2315,1:16,6.4,70
5,G,1.59,7.517025,2.8683,-1.449,2315,1:16,6.4,70
10,P,1.58,7.52736,2.8683,NA,2315,1:16,6.4,70
15,P,1.56,7.521795,2.9029,-1.449,2315,1:16,6.4,70
45,P,1.59,7.521,2.851,NA,2315,1:16,6.4,70
90,P,1.57,7.510665,2.9202,NA,2315,1:16,6.4,70
0,P,1.51,7.544055,2.6953,1.983,4981,1:20,6.95,74
0,G,NA,7.534515,2.7299,1.983,4981,1:20,6.95,74
5,P,1.51,7.54167,2.7645,1.983,4981,1:20,6.95,74
5,G,NA,7.53372,2.7472,3.699,4981,1:20,6.95,74
10,P,1.46,7.5369,2.7645,1.983,4981,1:20,6.95,74
10,G,NA,7.5369,2.7645,2.555,4981,1:20,6.95,74
15,P,1.51,7.54008,2.7472,1.983,4981,1:20,6.95,74
15,G,NA,7.531335,2.7645,2.555,4981,1:20,6.95,74
45,P,1.53,7.53213,2.7645,2.555,4981,1:20,6.95,74
45,G,1.57,7.52259,2.7991,2.555,4981,1:20,6.95,74
90,P,1.47,7.513845,2.851,1.983,4981,1:20,6.95,74
90,G,1.54,7.524975,2.7818,2.555,4981,1:20,6.95,74
0,P,0.39,7.60845,2.505,1.983,9901,1:22,6.8,76
0,G,NA,7.617195,2.3839,2.555,9901,1:22,6.8,76
5,P,0.36,7.60845,2.4358,2.555,9901,1:22,6.8,76
5,G,NA,7.612425,2.4704,1.983,9901,1:22,6.8,76
10,P,0.37,7.60209,2.4877,2.555,9901,1:22,6.8,76
10,G,NA,7.618785,2.5223,1.983,9901,1:22,6.8,76
15,P,0.4,7.606065,2.4704,2.555,9901,1:22,6.8,76
15,G,NA,7.60209,2.4877,1.983,9901,1:22,6.8,76
45,P,0.37,7.598115,2.4704,3.127,9901,1:22,6.8,76
45,G,0.38,7.612425,2.4704,3.127,9901,1:22,6.8,76
90,P,0.36,7.582215,2.5396,3.127,9901,1:22,6.8,76
90,G,0.38,7.58778,2.5223,2.555,9901,1:22,6.8,76
0,P,1.38,7.56711,2.4358,3.127,7616,1:23,4.95,68
0,G,NA,7.552005,2.3493,2.555,7616,1:23,4.95,68
5,P,1.36,7.5528,2.4704,3.127,7616,1:23,4.95,68
5,G,NA,7.556775,2.4185,3.127,7616,1:23,4.95,68
10,P,1.33,7.55121,2.4877,3.127,7616,1:23,4.95,68
10,G,NA,7.558365,2.4185,3.699,7616,1:23,4.95,68
15,P,1.35,7.54644,2.5223,3.699,7616,1:23,4.95,68
15,G,NA,7.564725,2.4531,3.127,7616,1:23,4.95,68
45,P,1.33,NA,NA,3.699,7616,1:23,4.95,68
45,G,NA,7.55439,2.4877,4.843,7616,1:23,4.95,68
90,P,1.29,7.521,2.5742,6.559,7616,1:23,4.95,68
90,G,NA,7.513845,2.6434,5.415,7616,1:23,4.95,68
0,P,0.84,7.6164,2.4012,NA,4454,1:25,8.6,83
5,P,0.82,7.614015,2.3839,NA,4454,1:25,8.6,83
10,P,0.8,7.618785,2.3666,-1.449,4454,1:25,8.6,83
15,P,0.81,7.61481,2.332,-1.449,4454,1:25,8.6,83
45,P,0.78,7.606065,2.332,-1.449,4454,1:25,8.6,83
90,P,0.75,7.59732,2.3147,3.127,4454,1:25,8.6,83
0,P,0.62,7.620375,2.159,3.127,130,1:53,4.85,69.5
0,G,0.59,7.59891,2.2109,4.271,130,1:53,4.85,69.5
5,P,0.6,7.60845,2.1417,4.271,130,1:53,4.85,69.5
5,G,0.63,7.56234,2.3839,5.987,130,1:53,4.85,69.5
10,P,0.63,7.602885,2.1936,4.843,130,1:53,4.85,69.5
