Lac,pH,PCO2,PO2,Time,Turtle
3.29,8.05244,302.080877,476.7897667,0,1
3.2,8.06944,300.6355139,491.6894469,5,1
3.17,8.05644,307.8623292,506.5891271,10,1
3.3,8.07444,296.2994248,566.187848,15,1
3.27,7.97344,352.6685836,849.281772,45,1
3.31,7.95644,343.9964053,1087.676655,90,1
4.31,7.9448,451.0777061,386.3062783,0,2
3.95,7.9528,417.7673524,457.844478,5,2
3.52,7.9638,398.3363128,443.536838,10,2
3.61,7.9678,391.3966558,457.844478,15,2
3.62,7.9308,399.7242442,472.1521179,45,2
3.57,7.9068,426.0949408,572.3055975,90,2
0.73,7.89004,315.8166119,570.4308033,0,3
0.72,7.89304,295.5719573,570.4308033,5,3
0.68,7.88504,294.2223136,626.0825889,10,3
0.63,7.87304,305.0194628,653.9084818,15,3
0.56,7.80304,329.3130483,1572.162946,90,3
2.21,7.9366,396.6612231,234.8426417,0,4
2.22,7.9436,384.6005778,221.0283687,5,4
2.21,7.9336,388.6207929,221.0283687,10,4
2.24,7.9296,391.3009363,262.4711878,15,4
2.2,7.8946,422.1225854,331.542553,45,4
2.29,7.8496,448.9240194,386.7996452,90,4
3.01,7.92904,348.2080593,306.0848213,0,5
1.7,7.91804,296.9216009,361.7366069,5,5
1.55,7.92104,296.9216009,389.5624998,10,5
1.51,7.89504,315.8166119,389.5624998,15,5
1.47,7.84304,340.1101974,584.3437497,45,5
1.52,7.91204,302.3201755,709.5602675,90,5
2.02,7.89048,345.2407576,322.2672554,0,6
1.95,7.89348,334.367033,322.2672554,5,6
1.85,7.87948,324.8525239,308.2556356,10,6
1.66,7.91048,296.3089967,434.3602138,15,6
1.59,7.82648,337.0854641,518.4299326,45,6
1.72,7.83048,346.5999732,798.6623286,90,6
2.25,7.94948,292.23135,252.2091564,0,7
2.12,7.96848,259.610176,294.2440158,5,7
2.12,7.96248,267.7654695,294.2440158,10,7
2.18,7.95348,277.2799786,322.2672554,15,7
2.17,7.90848,304.4642902,490.406693,45,7
2.2,7.93448,292.23135,392.3253544,90,7
1.07,8.04948,327.6953903,313.0906312,0,8
0.99,8.06148,319.7028198,379.0044482,5,8
0.98,8.05848,308.5132211,395.4829025,10,8
0.95,8.05648,303.7176788,395.4829025,15,8
1.01,8.05748,300.5206506,741.5304422,45,8
1.01,7.96148,346.8775595,1417.147067,90,8
1.97,7.9578,324.7759484,300.4604387,0,9
1.69,7.9598,310.8966344,314.7680786,5,9
1.64,7.9388,313.6724972,357.6909984,10,9
1.51,7.9338,306.7328401,357.6909984,15,9
1.52,7.9088,315.0604286,429.2291981,45,9
1.52,7.9368,283.1380063,472.1521179,90,9
<0.30,7.94036,278.4286115,440.4779633,0,10
<0.30,7.94236,274.2935331,426.2689967,5,10
<0.30,7.91936,285.3204088,426.2689967,10,10
<0.30,7.92636,286.6987682,454.6869298,15,10
<0.30,7.87436,307.3741602,625.1945285,45,10
<0.30,7.90336,290.8338466,639.4034951,90,10
