Turtle,Time,Variable,Value
1,0,Lac,3.29
1,5,Lac,3.2
1,10,Lac,3.17
1,15,Lac,3.3
1,45,Lac,3.27
1,90,Lac,3.31
2,0,Lac,4.31
2,5,Lac,3.95
2,10,Lac,3.52
2,15,Lac,3.61
2,45,Lac,3.62
2,90,Lac,3.57
3,0,Lac,0.73
3,5,Lac,0.72
3,10,Lac,0.68
3,15,Lac,0.63
3,90,Lac,0.56
4,0,Lac,2.21
4,5,Lac,2.22
4,10,Lac,2.21
4,15,Lac,2.24
4,45,Lac,2.2
4,90,Lac,2.29
5,0,Lac,3.01
5,5,Lac,1.7
5,10,Lac,1.55
5,15,Lac,1.51
5,45,Lac,1.47
5,90,Lac,1.52
6,0,Lac,2.02
6,5,Lac,1.95
6,10,Lac,1.85
6,15,Lac,1.66
6,45,Lac,1.59
6,90,Lac,1.72
7,0,Lac,2.25
7,5,Lac,2.12
7,10,Lac,2.12
7,15,Lac,2.18
7,45,Lac,2.17
7,90,Lac,2.2
8,0,Lac,1.07
8,5,Lac,0.99
8,10,Lac,0.98
8,15,Lac,0.95
8,45,Lac,1.01
8,90,Lac,1.01
9,0,Lac,1.97
9,5,Lac,1.69
9,10,Lac,1.64
9,15,Lac,1.51
9,45,Lac,1.52
9,90,Lac,1.52
10,0,Lac,0
10,5,Lac,0
10,10,Lac,0
10,15,Lac,0
10,45,Lac,0
10,90,Lac,0
1,0,pH,8.05244
1,5,pH,8.06944
1,10,pH,8.05644
1,15,pH,8.07444
1,45,pH,7.97344
1,90,pH,7.95644
2,0,pH,7.9448
2,5,pH,7.9528
2,10,pH,7.9638
2,15,pH,7.9678
2,45,pH,7.9308
2,90,pH,7.9068
3,0,pH,7.89004
3,5,pH,7.89304
3,10,pH,7.88504
3,15,pH,7.87304
3,90,pH,7.80304
4,0,pH,7.9366
4,5,pH,7.9436
4,10,pH,7.9336
4,15,pH,7.9296
4,45,pH,7.8946
4,90,pH,7.8496
5,0,pH,7.92904
5,5,pH,7.91804
5,10,pH,7.92104
5,15,pH,7.89504
5,45,pH,7.84304
5,90,pH,7.91204
6,0,pH,7.89048
6,5,pH,7.89348
6,10,pH,7.87948
6,15,pH,7.91048
6,45,pH,7.82648
6,90,pH,7.83048
7,0,pH,7.94948
7,5,pH,7.96848
7,10,pH,7.96248
7,15,pH,7.95348
7,45,pH,7.90848
7,90,pH,7.93448
8,0,pH,8.04948
8,5,pH,8.06148
8,10,pH,8.05848
8,15,pH,8.05648
8,45,pH,8.05748
8,90,pH,7.96148
9,0,pH,7.9578
9,5,pH,7.9598
9,10,pH,7.9388
9,15,pH,7.9338
9,45,pH,7.9088
9,90,pH,7.9368
10,0,pH,7.94036
10,5,pH,7.94236
10,10,pH,7.91936
10,15,pH,7.92636
10,45,pH,7.87436
10,90,pH,7.90336
1,0,PCO2,302.080877
1,5,PCO2,300.6355139
1,10,PCO2,307.8623292
1,15,PCO2,296.2994248
1,45,PCO2,352.6685836
1,90,PCO2,343.9964053
2,0,PCO2,451.0777061
2,5,PCO2,417.7673524
2,10,PCO2,398.3363128
2,15,PCO2,391.3966558
2,45,PCO2,399.7242442
2,90,PCO2,426.0949408
3,0,PCO2,315.8166119
3,5,PCO2,295.5719573
3,10,PCO2,294.2223136
3,15,PCO2,305.0194628
3,90,PCO2,329.3130483
4,0,PCO2,396.6612231
4,5,PCO2,384.6005778
4,10,PCO2,388.6207929
4,15,PCO2,391.3009363
4,45,PCO2,422.1225854
4,90,PCO2,448.9240194
5,0,PCO2,348.2080593
5,5,PCO2,296.9216009
5,10,PCO2,296.9216009
5,15,PCO2,315.8166119
5,45,PCO2,340.1101974
5,90,PCO2,302.3201755
6,0,PCO2,345.2407576
6,5,PCO2,334.367033
6,10,PCO2,324.8525239
6,15,PCO2,296.3089967
6,45,PCO2,337.0854641
6,90,PCO2,346.5999732
7,0,PCO2,292.23135
7,5,PCO2,259.610176
7,10,PCO2,267.7654695
7,15,PCO2,277.2799786
7,45,PCO2,304.4642902
7,90,PCO2,292.23135
8,0,PCO2,327.6953903
8,5,PCO2,319.7028198
8,10,PCO2,308.5132211
8,15,PCO2,303.7176788
8,45,PCO2,300.5206506
8,90,PCO2,346.8775595
9,0,PCO2,324.7759484
9,5,PCO2,310.8966344
9,10,PCO2,313.6724972
9,15,PCO2,306.7328401
9,45,PCO2,315.0604286
9,90,PCO2,283.1380063
10,0,PCO2,278.4286115
10,5,PCO2,274.2935331
10,10,PCO2,285.3204088
10,15,PCO2,286.6987682
10,45,PCO2,307.3741602
10,90,PCO2,290.8338466
1,0,PO2,476.7897667
1,5,PO2,491.6894469
1,10,PO2,506.5891271
1,15,PO2,566.187848
1,45,PO2,849.281772
1,90,PO2,1087.676655
2,0,PO2,386.3062783
2,5,PO2,457.844478
2,10,PO2,443.536838
2,15,PO2,457.844478
2,45,PO2,472.1521179
2,90,PO2,572.3055975
3,0,PO2,570.4308033
3,5,PO2,570.4308033
3,10,PO2,626.0825889
3,15,PO2,653.9084818
3,90,PO2,1572.162946
4,0,PO2,234.8426417
4,5,PO2,221.0283687
4,10,PO2,221.0283687
4,15,PO2,262.4711878
4,45,PO2,331.542553
4,90,PO2,386.7996452
5,0,PO2,306.0848213
5,5,PO2,361.7366069
5,10,PO2,389.5624998
5,15,PO2,389.5624998
5,45,PO2,584.3437497
5,90,PO2,709.5602675
6,0,PO2,322.2672554
6,5,PO2,322.2672554
6,10,PO2,308.2556356
6,15,PO2,434.3602138
6,45,PO2,518.4299326
6,90,PO2,798.6623286
7,0,PO2,252.2091564
7,5,PO2,294.2440158
7,10,PO2,294.2440158
7,15,PO2,322.2672554
7,45,PO2,490.406693
7,90,PO2,392.3253544
8,0,PO2,313.0906312
8,5,PO2,379.0044482
8,10,PO2,395.4829025
8,15,PO2,395.4829025
8,45,PO2,741.5304422
8,90,PO2,1417.147067
9,0,PO2,300.4604387
9,5,PO2,314.7680786
9,10,PO2,357.6909984
9,15,PO2,357.6909984
9,45,PO2,429.2291981
9,90,PO2,472.1521179
10,0,PO2,440.4779633
10,5,PO2,426.2689967
10,10,PO2,426.2689967
10,15,PO2,454.6869298
10,45,PO2,625.1945285
10,90,PO2,639.4034951
