Bbecf,HCO3,TCO2,SO2,Lac,pH,PCO2,PO2,Time,Turtle,Cartridge,Internal.Temp,Weight,temp_change
18,39.2,40,98,3.29,8.05244,302.080877,476.7897667,0,1,0:36,21.9,1182,15.1
19,40.4,42,98,3.2,8.06944,300.6355139,491.6894469,5,1,0:36,21.9,1182,15.1
19,40.3,42,98,3.17,8.05644,307.8623292,506.5891271,10,1,0:36,21.9,1182,15.1
19,40.2,41,99,3.3,8.07444,296.2994248,566.187848,15,1,0:36,21.9,1182,15.1
16,38.7,40,99,3.27,7.97344,352.6685836,849.281772,45,1,0:36,21.9,1182,15.1
13,36.5,38,99,3.31,7.95644,343.9964053,1087.676655,90,1,0:36,21.9,1182,15.1
26,49.2,>50,95,4.31,7.9448,451.0777061,386.3062783,0,2,0:35,22.5,574,14.5
24,46.4,48,97,3.95,7.9528,417.7673524,457.844478,5,2,0:35,22.5,574,14.5
22,45.2,47,97,3.52,7.9638,398.3363128,443.536838,10,2,0:35,22.5,574,14.5
22,44.8,46,97,3.61,7.9678,391.3966558,457.844478,15,2,0:35,22.5,574,14.5
19,42.4,44,97,3.62,7.9308,399.7242442,472.1521179,45,2,0:35,22.5,574,14.5
19,42.9,45,98,3.57,7.9068,426.0949408,572.3055975,90,2,0:35,22.5,574,14.5
8,31.7,33,98,0.73,7.89004,315.8166119,570.4308033,0,3,0:36,22.9,627,14.1
6,29.9,31,98,0.72,7.89304,295.5719573,570.4308033,5,3,0:36,22.9,627,14.1
6,29.3,31,98,0.68,7.88504,294.2223136,626.0825889,10,3,0:36,22.9,627,14.1
6,29.7,31,98,0.63,7.87304,305.0194628,653.9084818,15,3,0:36,22.9,627,14.1
3,27.5,29,100,0.56,7.80304,329.3130483,1572.162946,90,3,0:36,22.9,627,14.1
22,44.5,46,84,2.21,7.9366,396.6612231,234.8426417,0,4,0:36,23,1733,14
21,43.8,45,82,2.22,7.9436,384.6005778,221.0283687,5,4,0:36,23,1733,14
20,43.2,45,83,2.21,7.9336,388.6207929,221.0283687,10,4,0:36,23,1733,14
20,43.1,45,87,2.24,7.9296,391.3009363,262.4711878,15,4,0:36,23,1733,14
20,43.2,45,92,2.2,7.8946,422.1225854,331.542553,45,4,0:36,23,1733,14
18,41.9,44,94,2.29,7.8496,448.9240194,386.7996452,90,4,0:36,23,1733,14
15,38,39,92,3.01,7.92904,348.2080593,306.0848213,0,5,0:35,22.9,1314,14.1
9,31.8,33,95,1.7,7.91804,296.9216009,361.7366069,5,5,0:35,22.9,1314,14.1
9,31.8,33,96,1.55,7.92104,296.9216009,389.5624998,10,5,0:35,22.9,1314,14.1
9,32.1,33,95,1.51,7.89504,315.8166119,389.5624998,15,5,0:35,22.9,1314,14.1
7,30.9,32,98,1.47,7.84304,340.1101974,584.3437497,45,5,0:35,22.9,1314,14.1
8,31.8,33,99,1.52,7.91204,302.3201755,709.5602675,90,5,0:35,22.9,1314,14.1
11,34.4,36,92,2.02,7.89048,345.2407576,322.2672554,0,6,0:43,22.8,726,14.2
10,33.6,35,92,1.95,7.89348,334.367033,322.2672554,5,6,0:43,22.8,726,14.2
8,31.6,33,92,1.85,7.87948,324.8525239,308.2556356,10,6,0:43,22.8,726,14.2
7,30.8,32,96,1.66,7.91048,296.3089967,434.3602138,15,6,0:43,22.8,726,14.2
5,29.4,31,97,1.59,7.82648,337.0854641,518.4299326,45,6,0:43,22.8,726,14.2
6,30.5,32,99,1.72,7.83048,346.5999732,798.6623286,90,6,0:43,22.8,726,14.2
10,33,34,88,2.25,7.94948,292.23135,252.2091564,0,7,0:29,22.8,955,14.2
8,30.5,32,92,2.12,7.96848,259.610176,294.2440158,5,7,0:29,22.8,955,14.2
8,31.1,32,92,2.12,7.96248,267.7654695,294.2440158,10,7,0:29,22.8,955,14.2
9,31.6,33,94,2.18,7.95348,277.2799786,322.2672554,15,7,0:29,22.8,955,14.2
8,31.6,33,97,2.17,7.90848,304.4642902,490.406693,45,7,0:29,22.8,955,14.2
9,32,33,96,2.2,7.93448,292.23135,392.3253544,90,7,0:29,22.8,955,14.2
15,37.1,38,94,1.07,8.04948,327.6953903,313.0906312,0,8,0:31,20.3,1177,16.7
15,37.1,38,96,0.99,8.06148,319.7028198,379.0044482,5,8,0:31,20.3,1177,16.7
13,35.4,37,96,0.98,8.05848,308.5132211,395.4829025,10,8,0:31,20.3,1177,16.7
12,34.7,36,96,0.95,8.05648,303.7176788,395.4829025,15,8,0:31,20.3,1177,16.7
12,34.5,36,99,1.01,8.05748,300.5206506,741.5304422,45,8,0:31,20.3,1177,16.7
9,32.7,34,100,1.01,7.96148,346.8775595,1417.147067,90,8,0:31,20.3,1177,16.7
14,36.4,38,92,1.97,7.9578,324.7759484,300.4604387,0,9,0:30,22.5,677,14.5
12,35,36,93,1.69,7.9598,310.8966344,314.7680786,5,9,0:30,22.5,677,14.5
11,33.8,35,95,1.64,7.9388,313.6724972,357.6909984,10,9,0:30,22.5,677,14.5
9,32.6,34,94,1.51,7.9338,306.7328401,357.6909984,15,9,0:30,22.5,677,14.5
8,31.8,33,96,1.52,7.9088,315.0604286,429.2291981,45,9,0:30,22.5,677,14.5
7,30.4,32,97,1.52,7.9368,283.1380063,472.1521179,90,9,0:30,22.5,677,14.5
7,30.3,31,97,<0.30,7.94036,278.4286115,440.4779633,0,10,0:42,22.6,439,14.4
7,30,31,97,<0.30,7.94236,274.2935331,426.2689967,5,10,0:42,22.6,439,14.4
6,29.8,31,97,<0.30,7.91936,285.3204088,426.2689967,10,10,0:42,22.6,439,14.4
7,30.4,32,97,<0.30,7.92636,286.6987682,454.6869298,15,10,0:42,22.6,439,14.4
5,29.2,30,98,<0.30,7.87436,307.3741602,625.1945285,45,10,0:42,22.6,439,14.4
6,29.3,30,98,<0.30,7.90336,290.8338466,639.4034951,90,10,0:42,22.6,439,14.4
