SITE,TRANSECT,TRANSECT_ID,lat,lon,SIDE,SP_CODE,PERCENT_COVER,GROUP,DIVISION.FAMILY,COMMON.DIVISION.NAME,COMMON.NAME,SPECIES
Baker North,1,BN_1,42.53807,-70.78659,I,ANSP,1.25,Invertebrate,Molluscs,Bivalves,jingle shell,Anomia 
Baker North,1,BN_1,42.53807,-70.78659,I,B,3.75,Substrate,NA,NA,NA,NA
Baker North,1,BN_1,42.53807,-70.78659,I,BA,2.5,Invertebrate,Arthropods,Crustaceans,NA,Barnacle 
Baker North,1,BN_1,42.53807,-70.78659,I,BL,5,Substrate,NA,NA,NA,NA
Baker North,1,BN_1,42.53807,-70.78659,I,BM,13.75,Substrate,NA,NA,NA,NA
Baker North,1,BN_1,42.53807,-70.78659,I,BOVI,1.25,Invertebrate,Chordates,Tunicates,orange sheath tunicate,Botrylloides violaceus
Baker North,1,BN_1,42.53807,-70.78659,I,BS,6.25,Substrate,NA,NA,NA,NA
Baker North,1,BN_1,42.53807,-70.78659,I,C,8.75,Substrate,NA,NA,NA,NA
Baker North,1,BN_1,42.53807,-70.78659,I,CF,2.5,Invertebrate,Molluscs,Gastropods,Slipper Snail,Crepidula fornicata
Baker North,1,BN_1,42.53807,-70.78659,I,CHCR,5,Algae,Rhodophyta,Erect Red Algae,Irish moss,Chondrus crispus
Baker North,1,BN_1,42.53807,-70.78659,I,CLSP,1.25,Invertebrate,Proifera,Sponges,NA,Cliona 
Baker North,1,BN_1,42.53807,-70.78659,I,CO,1.25,Algae,Rhodophyta,Erect Red Algae,coral weed,Corralina officinalis
Baker North,1,BN_1,42.53807,-70.78659,I,DEVI,6.25,Algae,Phaeophyta,Brown Algae,Sour or Stink Weed,Desmerestia viridis
Baker North,1,BN_1,42.53807,-70.78659,I,DIAT,2.5,Algae,Phaeophyta,Brown Algae,NA,Diatom Tube Mat
Baker North,1,BN_1,42.53807,-70.78659,I,DIVE,1.25,Invertebrate,Chordates,Tunicates,tunicate,Didemnum vexillum
Baker North,1,BN_1,42.53807,-70.78659,I,EC,7.5,Algae,Rhodophyta,Red Algal Crusts,NA,Encrusting coralline
Baker North,1,BN_1,42.53807,-70.78659,I,HIRU,1.25,Algae,Rhodophyta,Red Algal Crusts,NA,Hildenbrandia rubra
Baker North,1,BN_1,42.53807,-70.78659,I,HJ,1.25,Algae,Rhodophyta,Erect Red Algae,japan red algae,Heterosiphonia japonica
Baker North,1,BN_1,42.53807,-70.78659,I,MAST,1.25,Algae,Rhodophyta,Erect Red Algae,false irish moss,Mastocarpus stellatus
Baker North,1,BN_1,42.53807,-70.78659,I,MYED,2.5,Invertebrate,Molluscs,Bivalves,Blue Mussel,Mytilus edulis
Baker North,1,BN_1,42.53807,-70.78659,I,P,3.75,Substrate,NA,NA,NA,NA
Baker North,1,BN_1,42.53807,-70.78659,I,PHRU,1.25,Algae,Rhodophyta,Erect Red Algae,sea oak,Phycodrys rubens
Baker North,1,BN_1,42.53807,-70.78659,I,POLS,5,Algae,Rhodophyta,Erect Red Algae,lobster horns,Polysiphonia 
Baker North,1,BN_1,42.53807,-70.78659,I,RAT,6.25,Algae,Rhodophyta,Erect Red Algae,NA,Red Algal Turf
Baker North,1,BN_1,42.53807,-70.78659,I,S,2.5,Substrate,NA,NA,NA,NA
Baker North,1,BN_1,42.53807,-70.78659,I,SH,3.75,Substrate,NA,NA,NA,NA
Baker North,1,BN_1,42.53807,-70.78659,I,SL,36.25,Algae,Phaeophyta,Brown Algae,Sugar Kelp,Saccharina latissima
Baker North,1,BN_1,42.53807,-70.78659,I,SS,2.5,Substrate,NA,NA,NA,NA
Baker North,1,BN_1,42.53807,-70.78659,I,URB,2.5,Algae,Rhodophyta,Erect Red Algae,NA,Unidentified Red Blade
Baker North,1,BN_1,42.53807,-70.78659,O,ANSP,1.25,Invertebrate,Molluscs,Bivalves,jingle shell,Anomia 
Baker North,1,BN_1,42.53807,-70.78659,O,B,3.75,Substrate,NA,NA,NA,NA
Baker North,1,BN_1,42.53807,-70.78659,O,BL,5,Substrate,NA,NA,NA,NA
Baker North,1,BN_1,42.53807,-70.78659,O,BM,7.5,Substrate,NA,NA,NA,NA
Baker North,1,BN_1,42.53807,-70.78659,O,BOSC,1.25,Invertebrate,Chordates,Tunicates,golden star tunicate,Botryllus schlosseri
Baker North,1,BN_1,42.53807,-70.78659,O,BS,12.5,Substrate,NA,NA,NA,NA
Baker North,1,BN_1,42.53807,-70.78659,O,C,12.5,Substrate,NA,NA,NA,NA
Baker North,1,BN_1,42.53807,-70.78659,O,CF,5,Invertebrate,Molluscs,Gastropods,Slipper Snail,Crepidula fornicata
Baker North,1,BN_1,42.53807,-70.78659,O,CHCR,3.75,Algae,Rhodophyta,Erect Red Algae,Irish moss,Chondrus crispus
Baker North,1,BN_1,42.53807,-70.78659,O,CLSP,1.25,Invertebrate,Proifera,Sponges,NA,Cliona 
Baker North,1,BN_1,42.53807,-70.78659,O,DEAC,3.75,Algae,Phaeophyta,Brown Algae,Sour or Stink Weed,Desmerestia aculeata
Baker North,1,BN_1,42.53807,-70.78659,O,DEVI,6.25,Algae,Phaeophyta,Brown Algae,Sour or Stink Weed,Desmerestia viridis
Baker North,1,BN_1,42.53807,-70.78659,O,DIAT,2.5,Algae,Phaeophyta,Brown Algae,NA,Diatom Tube Mat
Baker North,1,BN_1,42.53807,-70.78659,O,DIVE,1.25,Invertebrate,Chordates,Tunicates,tunicate,Didemnum vexillum
Baker North,1,BN_1,42.53807,-70.78659,O,EC,16.25,Algae,Rhodophyta,Red Algal Crusts,NA,Encrusting coralline
Baker North,1,BN_1,42.53807,-70.78659,O,HIRU,1.25,Algae,Rhodophyta,Red Algal Crusts,NA,Hildenbrandia rubra
Baker North,1,BN_1,42.53807,-70.78659,O,LIVE,1.25,Invertebrate,Bryozoans,Bryozoans,NA,Lichenopora verrucaria
Baker North,1,BN_1,42.53807,-70.78659,O,MAST,2.5,Algae,Rhodophyta,Erect Red Algae,false irish moss,Mastocarpus stellatus
Baker North,1,BN_1,42.53807,-70.78659,O,MEMA,1.25,Invertebrate,Bryozoans,Bryozoans,sea lace,Membranipora membranacea
Baker North,1,BN_1,42.53807,-70.78659,O,MYED,1.25,Invertebrate,Molluscs,Bivalves,Blue Mussel,Mytilus edulis
Baker North,1,BN_1,42.53807,-70.78659,O,P,3.75,Substrate,NA,NA,NA,NA
Baker North,1,BN_1,42.53807,-70.78659,O,POLS,1.25,Algae,Rhodophyta,Erect Red Algae,lobster horns,Polysiphonia 
Baker North,1,BN_1,42.53807,-70.78659,O,RAT,1.25,Algae,Rhodophyta,Erect Red Algae,NA,Red Algal Turf
Baker North,1,BN_1,42.53807,-70.78659,O,S,1.25,Substrate,NA,NA,NA,NA
Baker North,1,BN_1,42.53807,-70.78659,O,SH,3.75,Substrate,NA,NA,NA,NA
Baker North,1,BN_1,42.53807,-70.78659,O,SL,41.25,Algae,Phaeophyta,Brown Algae,Sugar Kelp,Saccharina latissima
Baker North,1,BN_1,42.53807,-70.78659,O,URB,2.5,Algae,Rhodophyta,Erect Red Algae,NA,Unidentified Red Blade
Baker North,2,BN_2,42.53787,-70.78437,I,ANSP,3.75,Invertebrate,Molluscs,Bivalves,jingle shell,Anomia 
Baker North,2,BN_2,42.53787,-70.78437,I,B,3.75,Substrate,NA,NA,NA,NA
Baker North,2,BN_2,42.53787,-70.78437,I,BA,1.25,Invertebrate,Arthropods,Crustaceans,NA,Barnacle 
Baker North,2,BN_2,42.53787,-70.78437,I,BL,16.25,Substrate,NA,NA,NA,NA
Baker North,2,BN_2,42.53787,-70.78437,I,BM,11.25,Substrate,NA,NA,NA,NA
Baker North,2,BN_2,42.53787,-70.78437,I,BS,3.75,Substrate,NA,NA,NA,NA
Baker North,2,BN_2,42.53787,-70.78437,I,C,5,Substrate,NA,NA,NA,NA
Baker North,2,BN_2,42.53787,-70.78437,I,CF,2.5,Invertebrate,Molluscs,Gastropods,Slipper Snail,Crepidula fornicata
Baker North,2,BN_2,42.53787,-70.78437,I,CHCR,3.75,Algae,Rhodophyta,Erect Red Algae,Irish moss,Chondrus crispus
Baker North,2,BN_2,42.53787,-70.78437,I,CRSP,2.5,Algae,Rhodophyta,Erect Red Algae,Banded weed,Ceramium 
Baker North,2,BN_2,42.53787,-70.78437,I,CYPU,1.25,Algae,Rhodophyta,Erect Red Algae,Purple claw weed,Cystoclonium purpureum
Baker North,2,BN_2,42.53787,-70.78437,I,DEAC,1.25,Algae,Phaeophyta,Brown Algae,Sour or Stink Weed,Desmerestia aculeata
Baker North,2,BN_2,42.53787,-70.78437,I,DEVI,7.5,Algae,Phaeophyta,Brown Algae,Sour or Stink Weed,Desmerestia viridis
Baker North,2,BN_2,42.53787,-70.78437,I,EC,10,Algae,Rhodophyta,Red Algal Crusts,NA,Encrusting coralline
Baker North,2,BN_2,42.53787,-70.78437,I,HAPA,2.5,Invertebrate,Proifera,Sponges,Breadcrumb Sponge,Halichondria panicea
Baker North,2,BN_2,42.53787,-70.78437,I,HJ,1.25,Algae,Rhodophyta,Erect Red Algae,japan red algae,Heterosiphonia japonica
Baker North,2,BN_2,42.53787,-70.78437,I,MEMA,2.5,Invertebrate,Bryozoans,Bryozoans,sea lace,Membranipora membranacea
Baker North,2,BN_2,42.53787,-70.78437,I,P,1.25,Substrate,NA,NA,NA,NA
